1 | Avocado Toast | California | US | Avocado Toast is a simple yet trendy dish, often customized with various toppings for added flavor and nutrition. | Sliced bread $ Ripe avocados $ Salt and pepper $ Optional toppings: poached egg, cherry tomatoes, feta cheese, red pepper flakes | Toast the bread slices. $ Mash ripe avocados and spread on the toast. $ Season with salt and pepper. $ Add optional toppings as desired. | Calories: 200-300 $ Protein: 5-10g $ Total Fat: 10-15g $ Carbohydrates: 20-30g | Sqirl $ Avotoasty $ Avocado Cafe | Savory | Vegetarian
2 | California Cobb Salad | California | US | The California Cobb Salad is a delicious and iconic salad known for its vibrant mix of fresh ingredients and flavorful toppings. Originating from california, this salad typically includes a base of mixed greens, topped with rows or sections of various ingredients arranged neatly on top. | Mixed salad greens $ Grilled chicken breast $ Avocado $ Cherry tomatoes $ Hard-boiled eggs $ Blue cheese $ Bacon $ Balsamic vinaigrette | Arrage the salad greens on a plate. $ Top with grilled chicken, avocado, cherry tomatoes, sliced hard-boiled eggs, blue cheese, and crumbled bacon. $ Drizzle with balsamic vinaigrette. | Calories: 500-600 $ Protein: 30-40g $ Total Fat: 30-40g $ Cabohydrates: 20-30g | Salata $ California Grill and Bar $ The Toss - San Carlos $ California Grill | Savory | Non-Veg
3 | Fish Tacos | California | US | Fish tacos are a delicious and popular dish that originated in Baja California, Mexico, and have become a beloved staple in many coastal regions, including California. They typically consist of a lightly battered or grilled fish, such as cod, mahi-mahi, or tilapia, served in a soft corn or flour tortilla and topped with a variety of fresh and flavorl=ful ingredients. | Fresh white fish (e.g., cod or halibut) $ Corn tortillas $ Cabbage slaw $ Lime wedges $ Crema or salsa | Grill or fry fish until cooked. $ Warm corn tortillas $ Assemble tacos with fish, cabbage slaw, a squeeze of lime, crema or salsa. | Caloris: 250-350 $ Protein: 15-20g $ Total Fat: 10-15g $ Carbohydrates: 25-30g | Best Fish Tacos in Ensenada $ Baja Fish Tacos $ La Costa Mariscos Fine Mexican Food | Savory | Non-Veg
4 | In-N-Out Burger | California | US | In-N-Out Burger is a popular fast-food chain primarily located on the west Coast, particularly in California. Known for its fresh ingredients, simple menu, and a not-so-secret "secret menu," In-N-Out has gained a dedicated following for its burgers, fries, and shakes. | Beef patties $ Buns $ Lettuce $ Tomato $ Onion $ Cheese $ Special sauce | Grill beef patties. $ Assemble burgers with lettuce, tomato, onion, cheese, and special sauce. | Calories: 500-600 $ Protein: 20-30g $ Total Fat: 30-40g $ Carbohydrates: 40-50g | In-N-Out Burger $ 1. Front of 1316 Ventura Blvd. 1316 Ventura Blvd. Camarillo, CA 93010 $ 2. Front of 3211 Harbor Blvd. 3211 Harbor Blvd. Costa Mesa, CA 92626 | Savory | Non-Veg
5 | Cioppino (Seafood Stew) | California | US | Cioppino is a flavorful seafood stew that originated in San Francisco, California, and reflects the rich maritime history of the region. It's a dish characterized by its tomato-based broth filled with an assortment of fresh seafood and aromatics. While it's not specifically associated with Florida, you can find variations of this delicious stew in seafood restaurants and eateries that specialize in diverse seafood dishes. | Assorted seafood (e.g., clams, mussels, shrimp, crab) $ Fish fillets $ Tomatoes $ Garlic $ Onion $ White wine $ Broth or clam juice $ Herbs (such as basil anf thyme) | Saute garlic and onions, add tomatoes and white wine. $ Add broth or clam juice, bring to a simmer. $ Add assorted seafood and fish fillets, cook until done. $ Season with herbs. | Calories: 300-400 $ Protein: 30-40g $ Total Fat: 10-15g $ Carbohydrates: 10-15g | Tadich Grill $ Fog Harbor Fish House $ California Fish Market Restaurant | Savory | Non-Veg
6 | Ahi Poke | Hawaii | US | A staple of Hawaiian cuisine, poke (pronounced poh-keh) consists of chunks of raw fish, often tuna, marinated in soy sauce, sesame oil, seaweed, and other seasonings. It's commonly served as an appetizer or a main dish. | 2 pounds fresh tuna steaks, cubed $ 1 cup soy sauce $ 3/4 cup chopped green onions $ 2 tablespoons sesame oil $ 2 tablespoons finely chopped macadamia nuts $ 1 tablespoon toasted sesame seeds $ 1 tablespoon crushed red pepper (Optional) | Gather all ingredients. $ Place tuna in a medium non-reactive bowl. $ Add soy sauce, green onions, sesame oil, sesame seeds, macademia nuts, and red pepper flakes; mix well. $ Cover and refrigerate at least 2 hours before serving. $ Serve over rice. | Total Fat 14g $ Saturated Fat 2g $ Cholesterol 102mg $ Sodium 3696mg $ Total Carbohydrate 9g $ Dietary Fiber 2g $ Total Sugars 2g $ Protein 58g $ Vitamin C 8mg $ Calcium 91mg $ Iron 4mg $ Potassium 1270mg | KBayBros Fish & Ice $ Poke by the Pound $ Tamashiro Market $ Kyung's Seafood | Savory | Non-Veg
7 | Laulau | Hawaii | US | This traditional dish consists of pork, butterfish, or chicken wrapped in taro leaves and cooked to perfection. The leaves impart a unique flavor to the meat, and it's often steamed or baked. | 1/2 pound salt butterfish, rinsed several times to remove excess salt $ 1/2 pound pork butt, cut into 1 inch cubes $ 4 boneless chicken thighs $ 1 tablespoon Hawaiian sea salt $ 8 ti leaves $ 1 pound taro leaves | Season fish, pork and chicken with Hawaiian sea salt $ Place 2 ti leaves in an X on a flat surface for each of the 4 servings. $ Place 1/4 of each of the fish, pork and chicken onto the center of 3 or 4 taro leaves. $ Wrap securely with the taro leaves, then place each wrap on a set of ti leaves. $ Tie the ends of the ti leaves together with a peice of string. $ Place the bundles in a large steamer, and steam for 3 to 4 hours. | Total Fat 13g $ Saturated Fat 3g $ Cholesterol 99mg $ Sodium 1422mg $ Total Carbohydrate 8g $ Dietary Fiber 4g $ Total Sugars 3g $ Protein 33g $ Vitamin C 59mg $ Calcium 144mg $ Iron 19mg $ Potassium 1129mg | Helena's Hawaiian Food $ Ai Love Nalo $ Poi by the Pound | Savory | Non-Veg
8 | Haupia | Hawaii | US | A delicious conout milk-based dessert, haupia has a custard-like consistency and is served in squares. It's sweetened with sugar and often eaten on its own or as part of a dessert platter. | 1 can full fat coconut milk about 14oz. $ 5 Tablespoons cornstarch or less, to taste. $ 5 Tablespoons granulated sugar $ 3/4 cup water | PREP $ Get an 8x8 inch pan. $ Cook coconut milk $ Place coconut milk in a small saucepan over medium heat $ 1 can full fat coconut milk $ MIX $ Meanwhile, combine sugar and cornstarch in a bowl, and add the water. Whick until completely combined. $ 5 Tablespoons cornstarch, 3/4 cup water, 5 Tablespoons granulated sugar. $ When the coconut milk just starts to simmer, add the sugar/cornstarch mix, and whisk. $ Keep whisking constantly until the mixture thickens and starts looking slightly translucent. $ When you bring your whisk up, the haupia should flow off of it and you can see the trace of it for a few before it "melts away". $ SET $ Pour into the 8x8 pan and allow to cool on the counter before refrigerating. $ Refrigerate until solid and completely cooled $ Cut Into Squares & Serve $ If you are using full 5 tablespoons, you should be able to pull the sides away from the pan and invert the whole thing onto cutting board. $ If it seems too soft for that, just cut it while in the pan. Cut into 2 inch peices (16 peices total) and serve. | Total Fat 44g $ Saturated Fat 39g $ Sodium 177mg $ Total Carbohydrate 50g $ Dietary Fiber 4.3g $ Sugar 31g $ Protein 4.2g $ Vitamin D 0mcg $ Calcium 30mg $ Iron 3.1mg $ Potassium 481mg | Waiahole Poi Factory $ Oahu Grill $ Helena's Hawaiian Food | Sweet | Vegetarian
9 | Malasadas | Hawaii | US | Introduced by Portuguese immigrants, malasadas are deep-fried doughnuts without a hole, dusted with sugar. These fluffy treats are immensely popular, especially during festivals like Malasada Day. | 1/2 cup warm evaporated milk $ 3/4 cup warm milk $ 2 tsp yeast $ 1 tbsp sugar $ 1/3 cup sugar $ 1/2 tsp salt $ 5 eggs $ 1/2 cup softened unsalted butter $ 5 1/2 cups bread flour | Combine the warm evaporated milk, warm milk, 1 tbsp sugar, and yeast. Give it a quick whisk and let it stand until it gets foamy. About 10 minutes. $ Add the bread flour, salt, sugar, froth mixture, and eggs in the stand-up mixer. Mix everything together using the hook attachment. $ When the dough begins to form, add the butter. Mix for another 8 minutes or until the dough becomes smooth and elastic. $ Place the dough in a large bowl. Cover with a kitchen towel or plastic wrap. Let it rise in a warm place for about one hour. $ After the dough has risen, punch it down, reshape, cover, and let it rise again for another hour. $ Place the dough on a well floured surface. Dust the top of the dough with more flour and flatten it out to about 3/4 inches think using a rolling pin. $ Cut the dough into oval shapes. Place on a baking sheet, cover, and let it rise for 30 minutes. $ Pour about 2 inches of vegetable oil in a pot. Heat the oil to 360-375 degrees Fahrenheit. Fry each side of the donut for a few minutes or until golden brown. $ Transfer fried donuts to a baking sheet lined with paper towels or wire rack. Cool before stuffing with any filling. $ To fill, poke with a chopstick and jiggle around a little to create a cavity inside. Fill a pastry bad with your choice of filling and stuff the donut until it is firm and plump. $ Serve and enjoy this onolicious Malasada! | Calories 119 $ Total Fat 3.8g 5% $ Saturated Fat 1.3g 7% $ Polyunsaturated Fat 0.5g $ Monounsaturated Fat 1.8g $ Cholesterol 18mg 6% $ Sodium 53mg 2% $ Total Carbohydrates 19g | Komoda's Bakery $ Home Maid Bakery $ Mapolean Bakery (Zippys) $ Maikai Lani Malasadas | Sweet | Vegetarian
10 | Loco Moco | Hawaii | US | A hearty dish that's a favorite for breakfast or lunch, loco moco typically includes white rice topped with a hamburger patty, a fried egg, and brown gravy. It's a filling and satisfying meal. | EGG: $ 2 tbsp unsalted butter $ 1/2 medium sized sweet onion (optional) $ 3/4 cup sliced mushroom (optional) $ green onions for garnishing $ cooked rice $ HAMBURGER PATTIES: $ 1 1/2 lb ground beef $ 1 tbsp Worcestershire sauce $ 1 1/2 tsp seasoning salt $ 1 tsp garlic powder $ 1/2 tsp black pepper $ GREVY: $ 1 1/2 cup beef stock $ 4 tsp shoyu (soy sauce) $ 1 tsp Worcestershire sauce $ 2 tsp ketchup $ 5 tsp cornstarch | HAMBURGER PATTIES: $ Mix together the ground beef, Worcestershire sauce, seasoning salt, garlic powder, and black pepper in a large bowl. $ Start forming it into patties by grabbing a handful of meat and rolling it into a ball. $ Then press down to flatten it out. Smooth the edges so there isn't any cracks or jagged edges. Patties should come out to at least one inch thick. Try to keep the patties large since it will shrink when fried. $ Heat a pan over medium heat. Fry each side of the patties for about 3-5 minutes or until well done. $ Set each finished patty on a plate lined with paper towel to catch any extra grease. $ GRAVY: $ Mix together the beef stock, shoyu, Worcestershire sauce, ketchup, and cornstarch. Whisk it until the cornstarch has come off of the bottom. $ Using the same pan, melt one tablespoon of the butter to caramelize the onions for about a minute then fry the mushrooms for anotherminute or two. (It is optional to add the mushrooms and onions. If not, just skip to the next step.) $ Melt the rest of the butter and add in the gravy mix to the pan. Keep stirring the gravy until it begins to thicken and simmer. $ EGG: $ Melt a slice of butter and crack an agg on a frying pan. $ Cook a sunny side up egg. Set aside. $ ASSEMBLE LOCO MOCO: $ Scoop a generous serving of hot white rice on a plate. Layer it with one hamburger patty then drizzle on the gravy. Top it with the egg and garnish with green onions. $ Serve it hot and enjoy! | Calories 633. $ Total Fat 23g 29% $ Saturated Fat 8.3g 42% $ Trans Fat 0.6g $ Polyunsaturated Fat 2.1g $ Monounsaturated Fat 9.8g $ Cholestrol 257mg 86% $ Sodium 659mg | Cafe 100. Hilo $ Rainbow Drive-In $ Koko Head Cafe O'ahu $ Kountry Style Kitchen $ Da Kitchen | Savory | Non-Veg
11 | Florida Spiny Lobster | Florida | US | Different from Maine lobsters, Florida's spiny lobsters have no claws but offer sweet and tender meat. They are often grilled, broiled, or served in various seafood dishes. | 2 to 3 Florida spiny lobsters, split down the center $ 1 stick of butter, melted $ 1 tablespoon Cavender's Greek Seasoning $ 1 clove garlic, fnely minced $ 2 limes, halved | Start by removing the soft green mass, known as the tomalley, from the body cavity, if desired. Some lobster lovers prize this bit for its intense flavor. Others swear it needs to go before cooking. Preheat your Traeger grill to 350 degrees. Combine the Cavender's seasoning and minced garlic with the melted butter. | (163g) calories 233 $ calories from fat 29 $ total fat 3g $ saturated fat 0g $ trans fat 0g $ cholesterol 147mg $ sodium 370mg $ total carbohydrate 5g $ dietry fiber 0g $ sugars 0g $ protein 43g $ vitamin A 1% $ vitamin C 6% $ calcium 10% $ iron 13% | Red Lobster $ Florida's Seafood Bar and Grill $ The Lobster Shack Key West $ Crab & Fin Restaurant $ Seafood Atlantic | Savory | Non-Veg
12 | Cuban Sandwich | Florida | US | Originating from Cuban communities in Florida, this sandwich is made with Cuban bread filled with roast pork, ham, Swiss cheese, pickles, and mustard. It's pressed and grilled to perfection. | 1/4 cup mayonnaise $ 1/4 cup mustard $ 1 pinch cayenne pepper $ 1 (8 ounce) loaf Cuban bread $ 8 slices Swiss cheese $ 6 thin slices smoked fully-cooked ham $ 1 1/2 cups cooked pulled pork, heated $ 1 large dill pickle, sliced thinly lengthwise $ 2 tablespoons butter, or as needed | Gather all ingredients. $ Mix mayonnaise, mustard, and cayenne together in a bowl to make sauce. $ Trim off ends of bread. Cut loaf in half and evenly split bread to make tops anf bottoms of two sandwiches. $ Spread each half on both sides generously with mayo-mustard sauce. $ Divide sandwich ingredients between the two bottom halves in this order: 2 slices Swiss cheese, 3 slices ham, hot cooked pork, pickle slices, and 2 more slices Swiss cheese. Place tops on sandwiches. $ Melt butter in a heavy skillet over medium heat. Place sandwiches in the skillet and press down with heavy weight, such as another skillet or foil-wrapped bricks. $ Toast sandwiches until bread is crisp and filling is heated through, 3 or 4 minutes per side. $ Serve hot and enjoy! | Servings Per Recipe 2 $ Calories 1473 $ Total Fat 85g $ Saturated Fat 37g $ Cholestrol 287mg $ Sodium 4077mg $ Total Carbohydrate 85g $ Dietary Fiber 5g $ Total Sugars 4g $ Protein 88g $ Vitamin C 12mg $ Calcium 978mg $ Iron 4mg $ Potassium 439mg | The Cuban Sandwich Shop $ La Teresita Restaurant $ HAVANA 86 - Authentic Cuban Flavor $ Hemingway's Cuban Kitchen | Savory | Non-Veg
13 | Key Lime Pie | Florida | US | A quintessential Florida dessert made from Key lime juice, egg yolks, and sweetened condensed milk in a graham cracker crust. It's tangy, refreshing, and a must-try when visiting the state. | 3 cups sweetened condensed milk $ 3/4 cup key lime juice $ 1/2 cup sour cream $ 1 tablespoon grated lime zest $ 1 (9 inch) prepared graham cracker crust | Preheat the oven to 350 degrees F (175 degrees C). $ Combine condensed milk, key lime juice, sour cream, and lime zest in a bowl; mix well. Pour into graham cracker crust; place pie on a baking sheet. $ Bake in the preheated oven for 5 to 8 minutes, until tiny pinhole bubbles brust on the surface of the pie. The filling will be wobbly but not browned. $ Transfer pie to a wire rack to cool, then thoroughly chill pie in the refrigerator before serving, about 1 hour. Garnish with lime slices and whipped cream, if desired. | Total Fat 21g $ saturated Fat 10g $ Cholesterol 45mg $ Sodium 325mg $ Total Carbohydrate 85g $ Dietary Fiber 1g $ Total Sugars 74g $ Protein 11g $ Vitamin C 11mg $ Calcium 353mg $ Iron 1mg $ Potassium 502mg | Key Lime Pie Bakery $ Blond Giraffe Key Lime Pie Factory ® $ Terry's Key Lime Pies & Grmt | Sweet | Vegetarian
14 | Gator Tail | Florida | US | Alligator meat is a unique specialty in Florida. Gator tail is often breaded and fried, creating a dish that's unique to the region and served in various restaurants. | 2 cups flour $ 1/2 teaspoon salt $ 1/2 teaspoon coarse pepper $ 1 pound gator meat $ Vegetable oil, for frying | Mix flour, salt and pepper in a large bowl with hands. Rinse gator and drain water. $ Dip in flour mixture. Shake off excess flour. Heat 1/2-inch vegetable oil in a deep frying pan to 350 degrees F. Drop the floured gator in pan and fry for 5 minutes or until golden brown. $ Serve immediately. | Carbs: 62 g $ Dietary Fiber: 5 g $ Sugars: 4 g $ Fat: 4.5 g $ Saturated: 1.7 g $ Polyunsaturated: 1 g $ Monounsaturated: 1 g $ Protein: 8.7 g $ Sodium: 200 mg $ Potassium: 300 mg $ Cholesterol: 5 mg | Tail-Gators Brews & Grill $ RJ Gator's of Bradenton $ Gator Joe's Beach Bar & Grill $ Gator's Dockside St.Johns | Savory | Non-Veg
15 | Florida Orange Juice Biscuits | Florida | US | Combining Florida orange juice with biscuits creates a delightful twist on traditional biscuits | 2 cups all-purpose flour $ 1 tablespoon baking powder $ 1/2 teaspoon salt $ 1/4 cup cold unsalted butter, cut into small pieces $ 3/4 cup Florida orange juice (freshly squeezed if possible) $ Zest of 1 Florida orange (optional) $ 2 tablespoons honey or sugar (optional, for added sweetness) | Preheat your oven to 425°F (220°C) and line a baking sheet with parchment paper. $ In a mixing bowl, whisk together the flour, baking powder, and salt. If using, add the orange zest to the dry ingredients for an extra citrusy flavor. $ Cut the cold butter into the dry ingredients using a pastry cutter or two knives until the mixture resembles coarse crumbs. $ Gradually pour in the Florida orange juice (and honey/sugar if using), mixing gently until a soft dough forms. Be cautious not to overmix. $ Turn the dough out onto a lightly floured surface and gently pat it into a 1-inch thickness. Using a biscuit cutter or the rim of a glass, cut out biscuits and place them on the prepared baking sheet, leaving a little space between each biscuit. $ Bake for 12-15 minutes or until the biscuits are golden brown on top. $ Once baked, remove the biscuits from the oven and aloow them to cool for a few minutes before serving. | Calories: Around 180-220 calories per biscuit. $ Total Fat: Approximately 6-10g $ Saturated Fat : Around 3-5g $ Carbohydrates: Around 20-25 g $ Protein: Roughly 2-3 g $ Sugars: Varies depending on added sweeteners, but around 3-5 g | Pao Gostoso Bakery $ Perkins Restaurant & Bakery $ Born & Bread Bakehouse $ Mecatos Bakery & Cafe | Sweet | Vegetarian
16 | New York Cheesecake | New York | US | Creamy and rich, New York-style cheesecake features a dense, smooth texture and is often made with cream cheese, sour cream, and a graham cracker crust. It's a dessert staple in the city. | 4 ounces graham crackers, broken into pieces $ 1/4 teaspoon coarse salt $ 1/3 cup sugar $ 4 tablespoons unsalted butter, melted $ FOR THE FILLING $ 2 1/2 pounds cream cheese (five 8-ounce packages), room temperature 4 ounces unsalted butter, room temperature $ 8 ounces sour cream, room temperature $ 1 3/4 cups granulated sugar $ 5 large eggs, plus 2 egg yolks $ Zest of 1 lemon $ 1 teaspoon vanilla extract | Preheat your oven to 325°F (160°C) and grease a 9-inch springform pan. $ In a mixing bowl, combine the graham cracker crumbs, 1/4 cup sugar, and melted butter until well combined. $ Press the mixture firmly into the bottom of the prepared springform pan to form the crust. $ In a separate mixing bowl, beat the cream cheese and 1 1/4 cups sugar until smooth and creamy. $ Add the eggs one at a time, mixing well after each addition. $ Stir in the vanilla extract and sour cream until fully incorporated. $ Pour the cream cheese mixture over the prepared crust in the springform pan. $ Bake in the preheated oven for 55-60 minutes, or until the edges are set but the center is still slightly jiggly. $ Turn off the oven and leave the cheesecake inside with the door slightly ajar for about an hour to cool gradually. $ Remove the cheesecake from the oven and refrigerate for at least 4 hours or overnight before serving. $ Serve chilled, topped with fresh fruit or fruit compote if desired. | Total Fat 28g $ Saturated Fat 18g $ Cholesterol 125mg $ Sodium 400mg $ Total Carbohydrates 43g $ Sugars 35g $ Protein 8g | Junior's Restaurant and Bakery $ The Cheesecake Factory $ Eileen's Special Cheesecake $ La Cheesecake Bake Shop | Sweet | Vegetarian
